euSurfaceWaterBodyCode,cArea,cLength
FRFR911,,73.778
FRFR913,,7.681
FRFR99,,9.45
FRFRL28_1,,8.745
FRFRL75_2,,14.856
FRFRR101C_3,,8.555
FRFRR106A_1,,5.791
FRFRR107B_2,,8.893
FRFRR108_8,,22.965
FRFRR113_2,,10.432
FRFRR113_5,,9.066
FRFRR121_2,,8.461
FRFRR124B_1,,10.504
FRFRR128A_2,,4.937
FRFRR129_1,,11.123
FRFRR139_2,,7.247
FRFRR139_3,,13.595
FRFRR139_8,,8.61
FRFRR139_9,,6.299
FRFRR153_4,,15.096
FRFRR156_3,,9.452
FRFRR157B_4,,13.625
FRFRR169_3,,9.005
FRFRR178_4,,12.208
FRFRR183_1,,7.737
FRFRR186_5,,13.339
FRFRR188_7,,11.494
FRFRR190_4,,15.069
FRFRR204_4,,15.713
FRFRR209_4,,7.597
FRFRR211_2,,10.238
FRFRR213A_8,,5.699
FRFRR219A_4,,7.608
FRFRR221_6,,17.703
FRFRR225_12,,3.265
FRFRR232_3,,5.114
FRFRR233_3,,6.933
FRFRR24_2,,14.763
FRFRR241_2,,9.111
FRFRR242_12,,7.309
FRFRR247B_2,,6.857
FRFRR249_1,,17.618
FRFRR250_3,,6.563
FRFRR255_6,,9.687
FRFRR255_8,,7.703
FRFRR256B_3,,6.724
FRFRR262_2,,5.129
FRFRR262_8,,4.619
FRFRR271A_1,,7.799
FRFRR271B_4,,6.578
FRFRR277B_4,,21.23
FRFRR285_7,,8.732
FRFRR288A_8,,10.448
FRFRR288C_5,,15.389
FRFRR300A_9,,10.197
FRFRR301A_2,,10.304
FRFRR301B_5,,5.205
FRFRR314A_7,,9.457
FRFRR314A_8,,7.184
FRFRR315A_5,,23.61
FRFRR316_1,,15.866
FRFRR321_8,,5.312
FRFRR327C_16,,8.842
FRFRR327C_22,,10.301
FRFRR327C_6,,9.623
FRFRR332_8,,4.07
FRFRR339_1,,9.229
FRFRR342_2,,6.764
FRFRR342_4,,6.312
FRFRR347B_1,,4.803
FRFRR348_4,,15.18
FRFRR356_3,,8.881
FRFRR36_8,,7.655
FRFRR368_1,,7.901
FRFRR369_2,,5.842
FRFRR369_3,,5.301
FRFRR377_4,,4.021
FRFRR381_1,,7.174
FRFRR4_2,,13.709
FRFRR41_1,,3.962
FRFRR410_1,,4.431
FRFRR432_3,,20.403
FRFRR441_1,,6.197
FRFRR455_1B,,17.657
FRFRR459_1,,11.573
FRFRR46B_1,,4.651
FRFRR475_1,,3.896
FRFRR483_1,,4.504
FRFRR487_2,,8.087
FRFRR492_1,,5.062
FRFRR500_2,,20.06
FRFRR503_2,,8.643
FRFRR51_1,,12.25
FRFRR518_1,,19.199
FRFRR52_2,,8.269
FRFRR527_3,,5.68
FRFRR533_2,,11.357
FRFRR54_20,,4.583
FRFRR54_9,,5.655
FRFRR548_1,,5.816
FRFRR553_2,,8.297
FRFRR573_2,,7.568
FRFRR588_2,,6.218
FRFRR596_4,,7.486
FRFRR602_2,,4.658
FRFRR604_1,,28.519
FRFRR610_1,,15.633
FRFRR613_1,,7.946
FRFRR61A_7,,6.633
FRFRR62_2,,7.134
FRFRR630_5,,6.37
FRFRR651_2,,7.441
FRFRR664_1,,4.472
FRFRR668_2,,7.407
FRFRR671_5,,7.318
FRFRR68_3,,10.353
FRFRR80_3,,14.623
FRFRR83A_1,,9.584
FRFRR85_2,,9.781
FRFRR9_4,,5.938
FRFRR903A_1,,9.391
FRFRR905B_2,,15.586
FRFRR905C_1,,4.511
